SiteID,Type,Art 43 SBCC DCID,Art 47 Preschool Permit DCID,Art 47 I-T Permit DCID,OCFS GFDC License ID,PermitType,Borough,SchoolDistrict,Name,SiteAddress,City,State,Zip,PK5HRFY21,PKFDFY21,PKHDFY21,PKHSEnhancedFY21,PKSCISFY21,3KFDFY21,ChildCare3YrFY21,ChildCare4YrFY21,ChildCareInfantFY21,ChildCareToddlerFY21,CT3YrFY21,CT4YrFY21,DualCCHSInfantFY21,DualCCHSToddlerFY21,HeadStart3YrFY21,HeadStart4YrFY21,CF4YrFY21,CF3YrFY21,CFToddlerFY21,HS_CT4Yr,HS_CT3Yr,EarlyHeadStartFY21,VendorName,VendorTaxID
01M015,PS,,,,,SBCC,M,1,P.S. 015 Roberto Clemente,333 EAST 4 STREET,MANHATTAN,NY,10009,,18,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M019,PS,,,,,SBCC,M,1,P.S. 019 Asher Levy,185 1 Avenue,Manhattan,NY,10003,,18,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M020,PS,,,,,SBCC,M,1,P.S. 020 Anna Silver,166 Essex Street,Manhattan,NY,10002,,54,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M034,PS,,,,,SBCC,M,1,P.S. 034 Franklin D. Roosevelt,730 East 12 Street,Manhattan,NY,10009,,18,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M063,PS,,,,,SBCC,M,1,The STAR Academy - P.S.63,121 East 3 Street,Manhattan,NY,10009,,36,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M064,PS,,,,,SBCC,M,1,P.S. 064 Robert Simon,600 East 6 Street,Manhattan,NY,10009,,36,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M110,PS,,,,,SBCC,M,1,P.S. 110 Florence Nightingale,285 Delancy Street,Manhattan,NY,10002,,36,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M134,PS,,,,,SBCC,M,1,P.S. 134 Henrietta Szold,293 East Broadway,Manhattan,NY,10002,,18,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M140,PS,,,,,SBCC,M,1,P.S. 140 Nathan Straus,123 Ridge Street,Manhattan,NY,10002,,18,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
01M142,PS,,,,,SBCC,M,1,P.S. 142 Amalia Castro,100 Attorney Street,Manhattan,NY,10002,,54,,,,,,,,,,,,,,,,,,0,0,,City of New York,136400434
